priority,classification,pattern,exclude_pattern,enabled
100,BEKISTING / FORMWORK,"BEKISTING|FORMWORK|SLIPFORM|SHORING","",TRUE
100,BORED PILE / PONDASI,"BORED\s*PILE|PONDASI|FOUNDATION|PILING|MICROPILE|PILE\s*CAP","",TRUE
100,STEEL / FABRIKASI,"STEEL\s*STRUCTURE|STR\.?\s*STEEL|STEEL\s*GRATING|HANDRAIL|HAND\s*RAIL|RAILING|CHEQUERED\s*PLATE|DECK\s*PLATE|BASE\s*PLATE|ANCHOR\s*BOLT|FABRICATION|FABRIKASI|WELDING|STRUKTUR\s*BAJA|GRATING|LADDER","",TRUE
100,PLUMBING / PIPA,"PIPA|PIPE|PLUMBING|SANITARY|DOWNSPOUT|UPVC|PVC|HDPE","HANDRAIL|HAND\s*RAIL|RAILING|STEEL\s*GRATING",TRUE
100,ELEKTRIKAL,"ELEKTRIK|ELECTRICAL|KABEL|CABLE|PANEL|LIGHTING|LAMPU|SWITCHGEAR|TRANSFORMER|TRAFO|INSTRUMENT","",TRUE
100,MEKANIKAL,"MEKANIK|MECHANICAL|HVAC|AIR\s*CONDITION|AC\s*SPLIT|CHILLER|PUMP|POMPA|BLOWER|COMPRESSOR|FAN|VALVE|CONVEYOR|BOILER","",TRUE
100,EQUIPMENT / RENTAL,"SEWA|RENTAL|CRANE|EXCAVATOR|FORKLIFT|ALAT\s*BERAT|SCAFFOLDING","",TRUE
100,STRUKTUR BETON / CONCRETE,"BETON|CONCRETE|READYMIX|READY\s*MIX|DEFORMED\s*BAR|REBAR|PENGECORAN|COR\s*BETON|GROUND\s*SLAB|CONCR\.|CONCR\s|LINTEL|KOLOM|BALOK","",TRUE
95,PRECAST / BETON PRACETAK,"PRECAST|BETON\s*PRACETAK|U[\s-]*DITCH|BOX\s*CULVERT|GIRDER|SPUN\s*PILE","",TRUE
95,FAÇADE / ARSITEKTUR,"FACADE|FAÇADE|FASAD|ARCHITECT|ARSITEKTUR|DOOR|PINTU|WINDOW|JENDELA|CEILING|PLAFOND|GYPSUM|KERAMIK|TILE|PENGECATAN|PAINT|FINISHING|SKIRTING|FLOOR|LANTAI|DINDING|WATERPROOF|ROOF|ATAP","",TRUE
95,LANDSCAPING,"LANDSCAP|TAMAN|RUMPUT|POHON|HARDSCAPE","",TRUE
95,JALAN / PERKERASAN,"JALAN|ROAD|PAVEMENT|PAVING|ASPAL|ASPHALT|MARKA|CURB|KERB","",TRUE
95,PEKERJAAN TANAH / EARTHWORKS,"GALIAN|EXCAVATION|TIMBUNAN|BACKFILL|BACKFILLING|COMPACTION|PEMADATAN|DREDGING|SOIL\s*IMPROVEMENT|JET\s*GROUT","",TRUE
95,AGREGAT / BAHAN URUG,"SIRTU|PASIR\s*URUG|BATU\s*PECAH|AGGREGATE|AGREGAT|GRAVEL|BASE\s*COURSE","",TRUE
95,GEOTEXTILE / GEOGRID / VERTICAL DRAIN,"GEOTEXTILE|GEOGRID|VERTICAL\s*DRAIN|\bPVD\b","",TRUE
95,"STP (SEWAGE, TREATMENT PLANT) & WTP (WATER TREATMENT PLANT)","\bSTP\b|\bWTP\b|SEWAGE|WATER\s*TREATMENT|WASTEWATER|\bIPAL\b","",TRUE
95,IT / TELECOM,"LAPTOP|COMPUTER|SERVER|NETWORK|TELECOM|TELECOMMUNICATION|FIBER\s*OPTIC|FIBRE\s*OPTIC|CCTV|SOFTWARE|ROUTER","",TRUE
95,SAFETY / K3,"SAFETY|\bK3\b|\bAPD\b|\bPPE\b|HARNESS|HELM|APAR|FIRE\s*EXTINGUISHER","",TRUE
95,TESTING / LABORATORY,"TESTING|LABORATORY|\bLAB\b|\bNDT\b|INSPECTION","",TRUE
95,LEGAL / CORPORATE,"LEGAL|NOTARIS|NOTARY|HUKUM|CORPORATE\s*SECRETARIAL","",TRUE
90,KONSULTAN PERENCANA,"KONSULTAN|CONSULTANT|PERENCANA|ENGINEERING\s*DESIGN|\bDED\b","",TRUE
90,LOGISTICS / TRANSPORT,"ANGKUTAN|TRANSPORT|HAULING|TRUCKING|MOBILISASI|LOGISTIC|LOGISTICS","CARGO|FREIGHT",TRUE
90,"CARGO / LOGISTICS TRANSPORT (DARAT, LAUT, UDARA)","CARGO|FREIGHT|SHIPPING|SHIPMENT|EKSPEDISI","",TRUE
90,BAHAN BANGUNAN,"SEMEN|CEMENT|MORTAR|BATA|BRICK|HOLLOW\s*BLOCK|MATERIAL\s*BANGUNAN|BUILDING\s*MATERIAL","",TRUE
90,"BANGUNAN PENGAIRAN ( BENDUNG, IRIGASI, SUNGAI, PINTU AIR )","BENDUNG|IRIGASI|PINTU\s*AIR|SALURAN\s*IRIGASI","",TRUE
85,PEKERJAAN SIPIL STRUCTURE,"PEKERJAAN\s*SIPIL|CIVIL\s*WORK|CIVIL\s*STRUCTURE|STRUCTURAL\s*WORK","",TRUE
85,FURNITURE PERMANEN ADM BLDG,"FURNITURE|MEJA|KURSI|CABINET|LEMARI|WORKSTATION","",TRUE
