source,classification,pattern,fallback_allowed,enabled
CIRCLE,HVAC / AIR CONDITIONING,"AHU\s*/\s*FCU|AIR CONDITIONING|AIR VENTILATION|COOLING TOWER",FALSE,TRUE
CIRCLE,ELEVATOR / ESCALATOR / LIFT,"ELEVATOR|ESKALATOR|ESCALATOR|\bLIFT\b",FALSE,TRUE
CIRCLE,FIRE PROTECTION / FIRE ALARM,"FIRE ALARM|FIRE FIGHT|FIRE PROTECTION",FALSE,TRUE
CIRCLE,ELEKTRIKAL,"KABEL & ALAT LISTRIK|PANEL LISTRIK|LAMPU & FIXTURIES|TRAFO|PEKERJAAN ELECTRICAL|PENANGKAL PETIR",FALSE,TRUE
CIRCLE,INSTRUMENTATION & CONTROL,"PEKERJAAN INSTRUMENT AND CONTROL|BUILDING AUTOMATION SYSTEM",FALSE,TRUE
CIRCLE,IT / TELECOM,"KONSULTAN IT|PEKERJAAN IT MULTIMEDIA|PEKERJAAN IT & TELEKOMUNIKASI|TELECOMUNICATION NETWORK|CCTV",FALSE,TRUE
CIRCLE,BEKISTING / FORMWORK,"BEKISTING|FORMWORK",FALSE,TRUE
CIRCLE,BORED PILE / PONDASI,"BORED PILE|MINIPILE FOUNDATION|PEMANCANGAN|PONDASI",FALSE,TRUE
CIRCLE,STEEL / FABRIKASI,"KONSTRUKSI BAJA|STEEL FABRICATION|STAINLESS STEEL|RAILING|OFFSHORE WELDING",FALSE,TRUE
CIRCLE,PLUMBING / PIPA,"PLUMBING|PIPING|PIPELINE|SANITARY",FALSE,TRUE
CIRCLE,FAÇADE / ARSITEKTUR,"FASADE|ARSITEKTUR|CEILING|INTERIOR|LANTAI|ALUMINIUM COMPOSITE|ALUMINIUM SANDWICH|ATAP & RANGKA ATAP|KACA",FALSE,TRUE
CIRCLE,FURNITURE PERMANEN ADM BLDG,"FURNITURE PERMANEN|INTERIOR",FALSE,TRUE
CIRCLE,LANDSCAPING,"LANDSCAPE|TAMAN",FALSE,TRUE
CIRCLE,JALAN / PERKERASAN,"KONSTRUKSI JALAN|PERKERASAN JALAN|RIGID PAVEMENT|PENGASPALAN|ROAD & HIGHWAY|MARKA JALAN",FALSE,TRUE
CIRCLE,PEKERJAAN TANAH / EARTHWORKS,"PEKERJAAN TANAH|EARTH WORK|SOIL IMPROVEMENT",FALSE,TRUE
CIRCLE,DREDGING / RECLAMATION,"PENGERUKAN|DREDGING|REKLAMASI",FALSE,TRUE
CIRCLE,MARINE / COASTAL,"MARINE CONTRACTOR|SEAPORT|OFFSHORE",FALSE,TRUE
CIRCLE,RAILWAY,"JALAN REL|RAILS AND HSR",FALSE,TRUE
CIRCLE,WATERPROOFING,"WATERPROOFING",FALSE,TRUE
CIRCLE,SCAFFOLDING / PERANCAH,"SCAFFOLDING|PERANCAH",FALSE,TRUE
CIRCLE,SAFETY / K3,"SAFETY CONSUMABLE|SAFETY EQUIPMENT|PERLENGKAPAN K3L",FALSE,TRUE
CIRCLE,TESTING / LABORATORY,"ALAT LABORATORIUM|KALIBRASI|SERTIFIKASI|PRECOMMISIONING & TESTING",FALSE,TRUE
CIRCLE,SURVEY / GEOSPATIAL,"ALAT SURVEY",FALSE,TRUE
CIRCLE,GEOTECHNICAL / SOIL INVESTIGATION,"GEOLISTRIK|GEOTECHNICAL",FALSE,TRUE
CIRCLE,LOGISTICS / TRANSPORT,"TRANSPORTASI & MOBILISASI",FALSE,TRUE
CIRCLE,"CARGO / LOGISTICS TRANSPORT (DARAT, LAUT, UDARA)","CARGO|FREIGHT",FALSE,TRUE
CIRCLE,KONSULTAN PERENCANA,"PEKERJAAN DESIGN/PERENCANAAN",FALSE,TRUE
CIRCLE,MEKANIKAL,"BOILER|VALVE|PEKERJAAN MEKANIKAL",FALSE,TRUE
CIRCLE,PRECAST / BETON PRACETAK,"POST TENSIONING|PRESTRESSING",FALSE,TRUE
TAXONOMY,PRINTING / DOCUMENT SERVICES,"Printing, Document & Records Services",TRUE,TRUE
TAXONOMY,HR / RECRUITMENT,"Human Resources & Recruitment Services",TRUE,TRUE
TAXONOMY,TRAINING / PROFESSIONAL DEVELOPMENT,"Training & Professional Development",TRUE,TRUE
TAXONOMY,FINANCE / TAX / ACCOUNTING,"Finance, Accounting & Tax Services",TRUE,TRUE
TAXONOMY,LEGAL / CORPORATE,"Legal, Notarial & Corporate Secretarial Services",TRUE,TRUE
TAXONOMY,INSURANCE / RISK,"Banking, Insurance & Risk Services",TRUE,TRUE
TAXONOMY,TRAVEL / EVENT,"Travel, Accommodation & Event Services",TRUE,TRUE
TAXONOMY,FACILITY MANAGEMENT,"Facility Management & Building Services",TRUE,TRUE
TAXONOMY,CLEANING / HYGIENE,"Cleaning, Pest Control & Hygiene Services",TRUE,TRUE
TAXONOMY,SECURITY / GUARDING,"Security & Guarding Services",TRUE,TRUE
TAXONOMY,CATERING,"Catering & Food Services",TRUE,TRUE
TAXONOMY,MEDICAL / OCCUPATIONAL HEALTH,"Medical & Occupational Health Services",TRUE,TRUE
TAXONOMY,MARKETING / BRANDING / COMMUNICATION,"Marketing, Branding & Communication Services",TRUE,TRUE
TAXONOMY,OFFICE SUPPLY / EQUIPMENT,"Office Supplies, Furniture & Equipment",TRUE,TRUE
TAXONOMY,ENVIRONMENT / SUSTAINABILITY,"Environmental, Social & Sustainability Consultancy",TRUE,TRUE
TAXONOMY,EQUIPMENT / RENTAL,"Equipment Rental & Fleet Services",TRUE,TRUE
TAXONOMY,PRECAST / BETON PRACETAK,"Precast & Prestressed Concrete Products",TRUE,TRUE
TAXONOMY,GEOTEXTILE / GEOGRID / VERTICAL DRAIN,"Geosynthetics & Geotechnical Materials",TRUE,TRUE
TAXONOMY,WATERPROOFING,"Waterproofing, Sealant & Construction Chemicals",TRUE,TRUE
TAXONOMY,MARINE / COASTAL,"Marine & Coastal Works",TRUE,TRUE
TAXONOMY,GEOTECHNICAL / SOIL INVESTIGATION,"Geotechnical & Geological Engineering",TRUE,TRUE
TAXONOMY,TESTING / LABORATORY,"Testing, Inspection & Certification",TRUE,TRUE
TAXONOMY,ELEKTRIKAL,"Electrical & Instrumentation Materials",FALSE,TRUE
TAXONOMY,MEKANIKAL,"Mechanical Materials & Components",FALSE,TRUE
TAXONOMY,PLUMBING / PIPA,"Plumbing, Piping & Sanitary Materials",FALSE,TRUE
TAXONOMY,HVAC / AIR CONDITIONING,"HVAC",FALSE,TRUE
TAXONOMY,BEKISTING / FORMWORK,"Formwork",FALSE,TRUE
TAXONOMY,SCAFFOLDING / PERANCAH,"Scaffolding",FALSE,TRUE
TAXONOMY,STEEL / FABRIKASI,"Structural Steel",FALSE,TRUE
TAXONOMY,STRUKTUR BETON / CONCRETE,"Concrete",FALSE,TRUE
TAXONOMY,FAÇADE / ARSITEKTUR,"Architectural",FALSE,TRUE
