classification,existing_count,enabled,mapped_to,note
AC,1,FALSE,MEKANIKAL,AC/HVAC menggunakan final classification MEKANIKAL
AGREGAT / BAHAN URUG,16,TRUE,,
BAHAN BANGUNAN,33,TRUE,,
"BANGUNAN PENGAIRAN ( BENDUNG, IRIGASI, SUNGAI, PINTU AIR )",1,TRUE,,
BEKISTING / FORMWORK,13,TRUE,,
BORED PILE / PONDASI,19,TRUE,,
CAR,1,TRUE,,
"CARGO / LOGISTICS TRANSPORT (DARAT, LAUT, UDARA)",1,TRUE,,
ELEKTRIKAL,57,TRUE,,
EQUIPMENT / RENTAL,45,TRUE,,
FAÇADE / ARSITEKTUR,51,TRUE,,
FURNITURE PERMANEN ADM BLDG,2,TRUE,,
GEOTEXTILE / GEOGRID / VERTICAL DRAIN,1,TRUE,,
IT / TELECOM,6,TRUE,,
JALAN / PERKERASAN,28,TRUE,,
KONSULTAN PERENCANA,1,TRUE,,
LANDSCAPING,2,TRUE,,
LEGAL / CORPORATE,2,TRUE,,
LOGISTICS / TRANSPORT,8,TRUE,,
MECHANICAL DAN ELECTRICAL,1,TRUE,,
MEKANIKAL,21,TRUE,,
PEKERJAAN SIPIL STRUCTURE,1,TRUE,,
PEKERJAAN TANAH / EARTHWORKS,26,TRUE,,
PENYEDIA JASA,2,TRUE,,
PINTU BESI,1,TRUE,,
PINTU OTOMATIS,1,TRUE,,
PINTU TAHAN API,1,TRUE,,
PLUMBING / PIPA,28,TRUE,,
PRECAST / BETON PRACETAK,7,TRUE,,
SAFETY / K3,3,TRUE,,
STEEL / FABRIKASI,27,TRUE,,
"STP (SEWAGE, TREATMENT PLANT) & WTP (WATER TREATMENT PLANT)",1,TRUE,,
STRUKTUR BETON / CONCRETE,76,TRUE,,
TESTING / LABORATORY,2,TRUE,,
