classification,status,enabled,note
AGREGAT / BAHAN URUG,EXISTING,TRUE,
BAHAN BANGUNAN,EXISTING,TRUE,
"BANGUNAN PENGAIRAN ( BENDUNG, IRIGASI, SUNGAI, PINTU AIR )",EXISTING,TRUE,
BEKISTING / FORMWORK,EXISTING,TRUE,
BORED PILE / PONDASI,EXISTING,TRUE,
CAR,EXISTING,TRUE,
"CARGO / LOGISTICS TRANSPORT (DARAT, LAUT, UDARA)",EXISTING,TRUE,
ELEKTRIKAL,EXISTING,TRUE,
EQUIPMENT / RENTAL,EXISTING,TRUE,
FAÇADE / ARSITEKTUR,EXISTING,TRUE,
FURNITURE PERMANEN ADM BLDG,EXISTING,TRUE,
GEOTEXTILE / GEOGRID / VERTICAL DRAIN,EXISTING,TRUE,
IT / TELECOM,EXISTING,TRUE,
JALAN / PERKERASAN,EXISTING,TRUE,
KONSULTAN PERENCANA,EXISTING,TRUE,
LANDSCAPING,EXISTING,TRUE,
LEGAL / CORPORATE,EXISTING,TRUE,
LOGISTICS / TRANSPORT,EXISTING,TRUE,
MECHANICAL DAN ELECTRICAL,EXISTING,TRUE,
MEKANIKAL,EXISTING,TRUE,
PEKERJAAN SIPIL STRUCTURE,EXISTING,TRUE,
PEKERJAAN TANAH / EARTHWORKS,EXISTING,TRUE,
PENYEDIA JASA,EXISTING,TRUE,
PINTU BESI,EXISTING,TRUE,
PINTU OTOMATIS,EXISTING,TRUE,
PINTU TAHAN API,EXISTING,TRUE,
PLUMBING / PIPA,EXISTING,TRUE,
PRECAST / BETON PRACETAK,EXISTING,TRUE,
SAFETY / K3,EXISTING,TRUE,
STEEL / FABRIKASI,EXISTING,TRUE,
"STP (SEWAGE, TREATMENT PLANT) & WTP (WATER TREATMENT PLANT)",EXISTING,TRUE,
STRUKTUR BETON / CONCRETE,EXISTING,TRUE,
TESTING / LABORATORY,EXISTING,TRUE,
AC,MAPPED,FALSE,AC HVAC diarahkan ke HVAC AIR CONDITIONING atau MEKANIKAL sesuai evidence
PRINTING / DOCUMENT SERVICES,NEW,TRUE,Printing scanning archiving document records dan pekerjaan cetak
HR / RECRUITMENT,NEW,TRUE,Recruitment assessment dan jasa SDM
TRAINING / PROFESSIONAL DEVELOPMENT,NEW,TRUE,Training pelatihan sertifikasi dan pengembangan kompetensi
FINANCE / TAX / ACCOUNTING,NEW,TRUE,Finance accounting dan perpajakan
INSURANCE / RISK,NEW,TRUE,Insurance dan risk services
TRAVEL / EVENT,NEW,TRUE,Travel accommodation ticketing dan event
FACILITY MANAGEMENT,NEW,TRUE,Facility dan building management services
CLEANING / HYGIENE,NEW,TRUE,Cleaning pest control housekeeping dan hygiene
SECURITY / GUARDING,NEW,TRUE,Security guarding dan satpam
CATERING,NEW,TRUE,Catering makanan dan konsumsi
MEDICAL / OCCUPATIONAL HEALTH,NEW,TRUE,Medical check up klinik ambulance dan occupational health
MARKETING / BRANDING / COMMUNICATION,NEW,TRUE,Marketing branding advertising signage dan communication
OFFICE SUPPLY / EQUIPMENT,NEW,TRUE,ATK office supplies dan loose office equipment
HVAC / AIR CONDITIONING,NEW,TRUE,AC AHU FCU HVAC chiller dan tata udara
ELEVATOR / ESCALATOR / LIFT,NEW,TRUE,Elevator lift dan escalator
FIRE PROTECTION / FIRE ALARM,NEW,TRUE,Fire detection alarm hydrant sprinkler dan fire fighting
INSTRUMENTATION & CONTROL,NEW,TRUE,Instrumentation PLC SCADA automation dan control system
WATERPROOFING,NEW,TRUE,Waterproofing membrane waterstop coating dan sealant
SCAFFOLDING / PERANCAH,NEW,TRUE,Scaffolding dan perancah
MARINE / COASTAL,NEW,TRUE,Marine coastal jetty offshore dan breakwater
RAILWAY,NEW,TRUE,Railway rel dan high speed rail
DREDGING / RECLAMATION,NEW,TRUE,Dredging pengerukan dan reklamasi
FUEL / LUBRICANT,NEW,TRUE,Fuel BBM diesel dan lubricant
ENVIRONMENT / SUSTAINABILITY,NEW,TRUE,Environmental sustainability AMDAL ESG dan related services
SURVEY / GEOSPATIAL,NEW,TRUE,Survey mapping GIS topography dan geospatial
GEOTECHNICAL / SOIL INVESTIGATION,NEW,TRUE,Soil investigation sondir CPT SPT dan geotechnical investigation
