excel_row,code,severity,detail
2127,MISSING_NO_SAP,CRITICAL,NO SAP kosong
41,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 3 kali: ADHIMIX RMC INDONESIA
42,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 3 kali: ADHIMIX RMC INDONESIA
43,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 3 kali: ADHIMIX RMC INDONESIA
45,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: ADI GEOTAMA KONSTRUKSINDO
46,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: ADI GEOTAMA KONSTRUKSINDO
75,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: AGUS
80,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: AGUS SANTOSO
81,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: AGUS SANTOSO
88,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: AGUSTAMIN
89,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: AGUSTAMIN
91,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: AHLI BANGUN INDOTEKNIK
92,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: AHLI BANGUN INDOTEKNIK
130,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: ALI MURTADHO
131,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: ALI MURTADHO
139,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: ALOY WELAKEKA KONTRAKTOR
140,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: ALOY WELAKEKA KONTRAKTOR
181,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: ANIGOS JAYA PERKASA
182,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: ANIGOS JAYA PERKASA
190,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: ANUGERAH JAYA ABADI
191,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: ANUGERAH JAYA ABADI
201,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: ANUGRAH
202,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: ANUGRAH
206,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: APLUGADA MANDIRI PERKASA
207,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: APLUGADA MANDIRI PERKASA
213,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: ARDIANSYAH
214,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: ARDIANSYAH
215,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: ARDIKA PUTRA PERSADA
216,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: ARDIKA PUTRA PERSADA
235,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: BUDI
251,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: ARTHALAUT BUMIJASA
252,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: ARTHALAUT BUMIJASA
261,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: ASAHI FIBREGLASS
262,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: ASAHI FIBREGLASS
268,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: ASRI KARYA LESTARI
269,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: ASRI KARYA LESTARI
