classification,existing_count,enabled,mapped_to,note
AC,1,False,MEKANIKAL,AC/HVAC diperlakukan sebagai evidence HVAC. Final classification menggunakan MEKANIKAL.
AGREGAT / BAHAN URUG,16,True,,
BAHAN BANGUNAN,33,True,,
"BANGUNAN PENGAIRAN ( BENDUNG, IRIGASI, SUNGAI, PINTU AIR )",1,True,,
BEKISTING / FORMWORK,13,True,,
BORED PILE / PONDASI,19,True,,
CAR,1,True,,
"CARGO / LOGISTICS TRANSPORT (DARAT, LAUT, UDARA)",1,True,,
ELEKTRIKAL,57,True,,
EQUIPMENT / RENTAL,45,True,,
FAÇADE / ARSITEKTUR,51,True,,
FURNITURE PERMANEN ADM BLDG,2,True,,
GEOTEXTILE / GEOGRID / VERTICAL DRAIN,1,True,,
IT / TELECOM,6,True,,
JALAN / PERKERASAN,28,True,,
KONSULTAN PERENCANA,1,True,,
LANDSCAPING,2,True,,
LEGAL / CORPORATE,2,True,,
LOGISTICS / TRANSPORT,8,True,,
MECHANICAL DAN ELECTRICAL,1,True,,
MEKANIKAL,21,True,,
PEKERJAAN SIPIL STRUCTURE,1,True,,
PEKERJAAN TANAH / EARTHWORKS,26,True,,
PENYEDIA JASA,2,True,,
PINTU BESI,1,True,,
PINTU OTOMATIS,1,True,,
PINTU TAHAN API,1,True,,
PLUMBING / PIPA,28,True,,
PRECAST / BETON PRACETAK,7,True,,
SAFETY / K3,3,True,,
STEEL / FABRIKASI,27,True,,
"STP (SEWAGE, TREATMENT PLANT) & WTP (WATER TREATMENT PLANT)",1,True,,
STRUKTUR BETON / CONCRETE,76,True,,
TESTING / LABORATORY,2,True,,
