excel_row,no_sap,vendor,status,proposed_final,match_vendor_id,match_method
2,2020010174,A. H. AL HADHY,PROPOSED,ELEKTRIKAL,2020010174,NO_SAP
3,2020008523,ABAD JAYA ABADI SENTOSA,PROPOSED,SAFETY / K3,2020008523,NO_SAP
4,2020000000,ABADI JAYA,PROPOSED,"BEKISTING / FORMWORK, BORED PILE / PONDASI, STRUKTUR BETON / CONCRETE, PEKERJAAN SIPIL STRUCTURE",2020000000,NO_SAP
5,2020000002,ABADI PERSADA,PROPOSED,"AGREGAT / BAHAN URUG, STRUKTUR BETON / CONCRETE, BAHAN BANGUNAN",2020000002,NO_SAP
6,2020004027,ABB SAKTI INDUSTRI,PROPOSED,ELEKTRIKAL,2020004027,NO_SAP
7,2020015046,"ABBEY INDRAJAYA SETIAWAN, S.E.",PROPOSED,"FAÇADE / ARSITEKTUR, FURNITURE PERMANEN ADM BLDG",2020015046,NO_SAP
8,2020015057,ABD.JALIL HI. MUMANG,PROPOSED,"SAFETY / K3, EQUIPMENT / RENTAL, BAHAN BANGUNAN",2020015057,NO_SAP
9,2020012932,ABDILLAH S.H.,PROPOSED,LEGAL / CORPORATE,2020012932,NO_SAP
10,2020011783,ABDUL KAHAR,PROPOSED,"STRUKTUR BETON / CONCRETE, FAÇADE / ARSITEKTUR, PEKERJAAN SIPIL STRUCTURE",2020011783,NO_SAP
11,2020014003,ABDUL KARIM,PROPOSED,"EQUIPMENT / RENTAL, LANDSCAPING",2020014003,NO_SAP
12,2020004037,"ABDUL LATIF,MANDOR",PROPOSED,"STRUKTUR BETON / CONCRETE, MEKANIKAL, FAÇADE / ARSITEKTUR, BORED PILE / PONDASI, STEEL / FABRIKASI, ELEKTRIKAL, EQUIPMENT / RENTAL, JALAN / PERKERASAN, PEKERJAAN TANAH / EARTHWORKS, AGREGAT / BAHAN URUG, LOGISTICS / TRANSPORT, BAHAN BANGUNAN, PEKERJAAN SIPIL STRUCTURE",2020004037,NO_SAP
13,2020013847,ABDUL RACHMAN PRATAMA,PROPOSED,"BEKISTING / FORMWORK, STRUKTUR BETON / CONCRETE, PEKERJAAN SIPIL STRUCTURE",2020013847,NO_SAP
14,2020014045,ABDUL RAHMAN,PROPOSED,EQUIPMENT / RENTAL,2020014045,NO_SAP
15,2020009818,ABDUL ROZAQ,PROPOSED,"MEKANIKAL, EQUIPMENT / RENTAL, SAFETY / K3, LOGISTICS / TRANSPORT",2020009818,NO_SAP
16,2020012462,ABDULLAH RACHMAN,PROPOSED,EQUIPMENT / RENTAL,2020012462,NO_SAP
17,2020012635,ABHICADRA GEMILANG,PROPOSED,LANDSCAPING,2020012635,NO_SAP
18,2020012258,ABI COMPOSITECH,PROPOSED,"STEEL / FABRIKASI, FAÇADE / ARSITEKTUR",2020012258,NO_SAP
19,2020015608,ABIT MUHAMMAD AKBAR,PROPOSED,BAHAN BANGUNAN,2020015608,NO_SAP
20,2020013592,ABRINA KARYA SEJAHTERA,PROPOSED,JALAN / PERKERASAN,2020013592,NO_SAP
21,2020011835,ABS GADING,PROPOSED,"PEKERJAAN TANAH / EARTHWORKS, BEKISTING / FORMWORK, STRUKTUR BETON / CONCRETE, PRECAST / BETON PRACETAK, AGREGAT / BAHAN URUG, PEKERJAAN SIPIL STRUCTURE",2020011835,NO_SAP
22,2020013840,ABU BAKAR WAILUSSY,PROPOSED,EQUIPMENT / RENTAL,2020013840,NO_SAP
23,2020010148,ABUDIYONO,PROPOSED,"EQUIPMENT / RENTAL, LOGISTICS / TRANSPORT",2020010148,NO_SAP
24,2020014578,ACENG KURNIA,PROPOSED,"BAHAN BANGUNAN, STRUKTUR BETON / CONCRETE, PEKERJAAN TANAH / EARTHWORKS, BEKISTING / FORMWORK, FAÇADE / ARSITEKTUR, PLUMBING / PIPA, AGREGAT / BAHAN URUG, PEKERJAAN SIPIL STRUCTURE",2020014578,NO_SAP
25,2020012661,ACEP AHMAD S,PROPOSED,"PLUMBING / PIPA, FAÇADE / ARSITEKTUR",2020012661,NO_SAP
26,2020004049,ACEP DIMYATI,PROPOSED,LOGISTICS / TRANSPORT,2020004049,NO_SAP
27,2020011893,ACHADI NURHARIYANTO,PROPOSED,"EQUIPMENT / RENTAL, MEKANIKAL, STRUKTUR BETON / CONCRETE",2020011893,NO_SAP
28,2020008747,ACHMAD DJAYADI,PROPOSED,"BORED PILE / PONDASI, ELEKTRIKAL, LANDSCAPING",2020008747,NO_SAP
29,2020013340,ACHMAD ROFII,PROPOSED,"FAÇADE / ARSITEKTUR, STRUKTUR BETON / CONCRETE, MEKANIKAL, LOGISTICS / TRANSPORT, BAHAN BANGUNAN, PEKERJAAN SIPIL STRUCTURE",2020013340,NO_SAP
30,2020012121,ACSET PONDASI INDONUSA,EXISTING_PRESERVED,"BORED PILE / PONDASI, Kesamaan lingkup, PEKERJAAN TANAH / EARTHWORKS, STRUKTUR BETON / CONCRETE
Upah Bore Pile dengan Ultrasonik D150 (A
Upah Bore Pile Ultrasonik D180 Acset
Upah Pengecoran D150 (Acset)
Upah Buang Tanah D150
Uji PDA Tiang Bore Pile
PIT Test
Uji Crosshole Sonic Logging
Pembesian Bored Pile + Lansir by Subkon
Pengecoran Beton Bored Pile by Subkon
Pengeboran bored pile Dia 80 cm
Test Tekan Aksial + PDA (200% x 360 ton)
Pengeboran Soldier pile Dia 80 cm
Test PDA
Pekerjaan Buangan tanah ke dumpsite (bor
Mobilisasi dan Demobilisasi Bored Pile M
Hasil Uji PDA Tiang Bore Pile",2020012121,
31,2020015049,ADE ARIF TRI HAMDANI,PROPOSED,"FAÇADE / ARSITEKTUR, PEKERJAAN TANAH / EARTHWORKS",2020015049,NO_SAP
32,2020004054,ADE KURNIA PUTRA,PROPOSED,"EQUIPMENT / RENTAL, PLUMBING / PIPA, ELEKTRIKAL, MEKANIKAL, SAFETY / K3, LOGISTICS / TRANSPORT",2020004054,NO_SAP
33,2020000048,AGUNG,PROPOSED,"FAÇADE / ARSITEKTUR, EQUIPMENT / RENTAL",2020000048,NO_SAP
34,2020003828,ADENAN,PROPOSED,SAFETY / K3,2020003828,NO_SAP
35,2020015953,ADHI FORTUNA DIVINA,EXISTING_PRESERVED,PEKERJAAN SIPIL STRUCTURE,2020015953,
36,2020008444,ADHI HUTAMA LOGISTIK,PROPOSED,"LOGISTICS / TRANSPORT, PLUMBING / PIPA, MEKANIKAL, EQUIPMENT / RENTAL, STRUKTUR BETON / CONCRETE, CARGO / LOGISTICS TRANSPORT (DARAT, LAUT, UDARA)",2020008444,NO_SAP
37,2020003244,ADHI KARYA,PROPOSED,"FAÇADE / ARSITEKTUR, PLUMBING / PIPA, ELEKTRIKAL, MEKANIKAL, STRUKTUR BETON / CONCRETE, PEKERJAAN SIPIL STRUCTURE",2020003244,NO_SAP
38,2020016084,ADHI LIMA PERKASA,EXISTING_PRESERVED,"AGREGAT / BAHAN URUG
Agregat Klas A",2020016084,
39,2020015202,ADHI PERSADA GEDUNG,EXISTING_PRESERVED,"BAHAN BANGUNAN, STEEL / FABRIKASI
Mobox dan Hollow",2020015202,
40,2020008631,ADHIMIX PCI INDONESIA,EXISTING_PRESERVED,"BEKISTING / FORMWORK, JALAN / PERKERASAN
Pembersihan Jalan Akses
Cetakan Beton Precast",2020008631,
41,2020003350,ADHIMIX RMC INDONESIA,EXISTING_PRESERVED,"STRUKTUR BETON / CONCRETE
Beton Readymix BO 12±2 FA 10%
Beton Readymix Fc 30 18±2 FA 10%
Beton Readymix Fc 35 12±2 FA 10%
Beton Readymix Fc 40 12±2 FA 10%
Beton Readymix Fc 40 18±2 FA 10%
Readymix FC 40 12±2 FA 10%, Screening
Beton Readymix Fc 30 16±2 NFA
Beton Readymix Fc 30 12±2 NFA
Beton Readymix Fc 10 10±2 NFA
Beton Readymix Fs 45 5±2,5 NFA
Beton Readymix Fc 30
Beton Readymix Fc 10 12±2 NFA
Beton Readymix Fc 40
Beton Readymix Fc 35 12±2 NFA
Beton Readymix Fs 45 6±2 NFA
Beton Readymix Fc 25 18±2 NFA
Beton Readymix K125 12±2 NFA
Beton Readymix Fs 45
Beton Readymix Fc 25 12±2 NFA
Beton Readymix Fc 30 12±2 FA 10%
Beton Readymix Fc 30 16±2 FA 10%
Beton Readymix BO 12±2 NFA
Beton Readymix Fc 15
Beton Readymix BO 10±2 FA 10%
Beton Readymix type 1 Fc 30 12±2 FA 10%
Beton Readymix Fc 25 12±2 FA 15%
Beton Readymix Fc 30 12±2 FA 15%
Beton Readymix Fc 10 12±2 FA 15%
Beton Readymix K475 12±2 FA 10%
Beton Readymix K350 12±2 FA 10%
Beton Readymix K125 10±2 FA 10%
Filling Concrete Class B of PC-Void
Beton Struktur Kelas B-1-7
Beton Struktur KelasB-1-4f (Kolom Pier)
Beton Struktur Kelas C-2 (Gorong-gorong
Beton Struktur Kelas E (Lantai Kerja)
Beton Struktur Kelas B-1-3b (Kepala Pier
Beton Str A2 (Toping Diatas Half Slab)
Beton Readymix Fc 10
Beton Readymix Fc 30 10±2 FA 10%
Beton Readymix Fc 20 10±2 FA 10%
Bekisting Pier Head (Pile Slab)
Beton Readymix Fc 20
Beton Readymix Fc 30 18±2 NFA
Beton Struktur Kelas B-1-6 (Beton Parape
Beton fc' 30 Mpa - SCC
Beton Readymix Fc 35 12±2 FA 15% SF+32",2020003350,
42,2020009114,ADHIMIX RMC INDONESIA,PROPOSED,"STRUKTUR BETON / CONCRETE, BAHAN BANGUNAN",2020009114,NO_SAP
43,2020009414,ADHIMIX RMC INDONESIA,PROPOSED,"STRUKTUR BETON / CONCRETE, BAHAN BANGUNAN",2020009414,NO_SAP
