excel_row,no_sap,vendor,reason,item_pekerjaan,level_1,level_2,level_3
58,2020003409,ADIPRANA DAYA TRAKTOR,No classification rule matched,Struktur Work,Material Supply,Structural Steel & Metal Products,"Profil baja,"
60,2020004080,ADITYA,No classification rule matched,Upah Persiapan,Construction Services,Site Preparation & Demolition,pekerjaan persiapan lokasi.
64,2020003439,AGRINAS JALDRI NUSANTARA ( PER,No classification rule matched,"ADD VII Pengawas Inkis
ADD VI Pengawas Inkis
Add VIII Pengawas Inkis
ADD IV PMI Sibanceh
ADD IX PengawasInkis
PMI Add VII Sigli - Banda Aceh
Kontrak Pengawas Betjam Paket 2B
PMI Add VIII Sigli Banda Aceh",Engineering & Professional Services,Project & Construction Management Consultancy,"supervision,"
71,2020015810,AGUNG PRAMU AJI,No classification rule matched,Addendum Supervisi MLA,Engineering & Professional Services,Project & Construction Management Consultancy,"construction management,
supervision,"
95,2020013489,AHMAD KHOTIB SYARONI,No classification rule matched,"Ads Youtube TVC
Jasa Handling media",Corporate Support Services,"Marketing, Branding & Communication Services","media monitoring, content, dan"
97,2020012079,AHMAD RIZAL,No classification rule matched,Jasa Persiapan (JK),Construction Services,Site Preparation & Demolition,pekerjaan persiapan lokasi.
98,2020012611,AHMAD ROFIQ,No classification rule matched,Jasa Persiapan (JK),Construction Services,Site Preparation & Demolition,pekerjaan persiapan lokasi.
124,2020014635,ALFI FAHCRUL,No classification rule matched,"Upah Screed
Anti Rayap
Pekerjaan Anti Rayap",Corporate Support Services,"Cleaning, Pest Control & Hygiene Services","pest control,"
130,2020012476,ALI MURTADHO,No classification rule matched,Pekerjaan onshore & offshore (tahap 1),Construction Services,Marine & Coastal Works,"Jetty,"
137,2020009759,ALKAJAYA SATRIA PERKASA,No classification rule matched,Steel Deck (JK),Material Supply,Structural Steel & Metal Products,produk metal lainnya.
152,2020011475,AMRIZAL,No classification rule matched,"Upah Persiapan
Pekerjan Borelog",Construction Services,Site Preparation & Demolition,pekerjaan persiapan lokasi.
154,2020010533,ANAGATA DHIA KARYA MANDIRI,No classification rule matched,"Pek.Kons.Pendmpingan Hunian Vertikal IKN
Pemby.Termin 2 Kons.KPBU Hunian IKN",Engineering & Professional Services,"Financial, Commercial & Transaction Advisory","PPP, dan"
161,2020015754,ANDI AMILUDDIN SYAH,No classification rule matched,Pek. Persiapan,Construction Services,Site Preparation & Demolition,pekerjaan persiapan lokasi.
166,2020015622,ANDIUS DASA PUTRA,No classification rule matched,Pek. Sondir Trial Embankment,Engineering & Professional Services,Geotechnical & Geological Engineering,"Investigasi tanah,"
170,2020015766,ANDROMEDA EKA PUTRI,No classification rule matched,Dermaga,Construction Services,Marine & Coastal Works,"dermaga,"
177,2020015820,ANGGA DWI YULIANTO,No classification rule matched,Pekerjaan Persiapan,Construction Services,Site Preparation & Demolition,pekerjaan persiapan lokasi.
180,2010000085,ANGKASA PURA SUPPORTS,No classification rule matched,Pek. Relokasi_JK_LS,Construction Services,Specialist Construction Works,rehabilitation.
181,2020012297,ANIGOS JAYA PERKASA,No classification rule matched,Solar industri,Utilities and Energy,Fuel Supply,"Solar Industri,"
184,2020004439,BAMBANG S,No classification rule matched,Pekerja,Corporate Support Services,Human Resources & Recruitment Services,"manpower outsourcing,"
185,2020013926,ANNISA KRISMARTNA WAHIDAH,No classification rule matched,Pek. General Cleaning_JK_M2,Corporate Support Services,"Cleaning, Pest Control & Hygiene Services","Cleaning,  sanitasi, washroom service, dan pengelolaan kebersihan."
194,2020011523,ANUGERAH KRESNA UTAMA,No classification rule matched,Pekerjaan Kajian Social Security Assessm,Engineering & Professional Services,"Environmental, Social & Sustainability Consultancy","social impact,"
218,2020003262,ARDIWAN,No classification rule matched,"Subkon Pek. Survey & setting out plant (
Subkon Pek. Surveying & setting out (JK)",Engineering & Professional Services,"Surveying, Mapping & Geospatial Services","Topografi,"
223,2020009576,ARGA NUSA PERSADA,No classification rule matched,Biaya Pelatihan MPP,Corporate Support Services,Training & Professional Development,"Pelatihan teknis/nonteknis, sertifikasi, leadership, e-learning, dan fasilitasi."
226,2020012073,ARGHANIAGA PANCATUNGGAL,No classification rule matched,"Bio Solar
Solar industri
Bensin",Utilities and Energy,Fuel Supply,"Solar Industri,"
230,2020015752,ARI UTOYO,No classification rule matched,Pekerjaan Soil Test,Engineering & Professional Services,Geotechnical & Geological Engineering,"Investigasi tanah,"
258,2020008185,ARYOS BERKAT SUKSES,No classification rule matched,"D&B Ciloto Termin 1
D&B Ciloto Termin 2
D&B Ciloto Termin 3
Pemby Termijn V Design & Built di Ciloto",Engineering & Professional Services,Civil & Structural Engineering,"design review,"
303,2020009727,BAHANA TEHNIK RAYA,No classification rule matched,"Aditional soil investigasi (borlog)
Soil Investigation",Engineering & Professional Services,Geotechnical & Geological Engineering,"Investigasi tanah,"
