classification,vendor_count,evidence_rows
OFFICE SUPPLY / FURNITURE,107,107
CLEANING / HYGIENE,72,72
TRAINING / PROFESSIONAL DEVELOPMENT,48,48
TRAVEL / EVENT,45,45
WATERPROOFING,40,40
HR / RECRUITMENT,36,36
ENGINEERING / CONSULTANCY,29,29
MARINE / COASTAL,28,28
FINANCE / TAX / ACCOUNTING,22,22
MARKETING / BRANDING / COMMUNICATION,21,21
HVAC / AIR CONDITIONING,17,17
PRINTING / DOCUMENT SERVICES,16,16
ENVIRONMENT / SUSTAINABILITY,13,13
ELEVATOR / ESCALATOR / LIFT,13,13
FUEL / LUBRICANT / GAS,12,12
SURVEY / GEOSPATIAL,11,11
SCAFFOLDING / PERANCAH,5,5
SECURITY,5,5
MEDICAL / OCCUPATIONAL HEALTH,5,5
CATERING,4,4
FIRE PROTECTION / FIRE ALARM,3,3
INSURANCE / RISK,3,3
INSTRUMENTATION & CONTROL,1,1
