excel_row,no_sap,vendor,rank,classification,vocabulary_status,source,relation,circle_support,taxonomy_support,distinct_po_count,raw_po_item_count,column_u_item_count,raw_po_examples,column_u_examples,circle,taxonomy
2,2020010174,A. H. AL HADHY,1,PRINTING / DOCUMENT SERVICES,NEW,ITEM_U,CONFIRMED_TAXONOMY,False,True,0,0,2,,Cetak Foto BOD & BOC | Karya Lukisan Media Kanvas Uk. 95x95cm,,"Material Supply
Corporate Support Services | Electrical & Instrumentation Materials
Printing, Document & Records Services | Kabel
Printing, scanning, archiving, shredding, document control, dan records storage."
2,2020010174,A. H. AL HADHY,2,ELEKTRIKAL,EXISTING,ITEM_U,CONFIRMED_TAXONOMY,False,True,0,0,1,,Penggantian Lampu Pencahayaan Lukisan,,"Material Supply
Corporate Support Services | Electrical & Instrumentation Materials
Printing, Document & Records Services | Kabel
Printing, scanning, archiving, shredding, document control, dan records storage."
4,2020000000,ABADI JAYA,1,BEKISTING / FORMWORK,EXISTING,ITEM_U,ACTUAL_WORK_CIRCLE_MISSING,False,False,0,0,1,,"Bekisting Abutment, Pile Cap, Retaining",,"Construction Services | Concrete & Structural Works | Bekisting,"
4,2020000000,ABADI JAYA,2,BORED PILE / PONDASI,EXISTING,ITEM_U,ACTUAL_WORK_CIRCLE_MISSING,False,False,0,0,1,,"Bekisting Abutment, Pile Cap, Retaining",,"Construction Services | Concrete & Structural Works | Bekisting,"
5,2020000002,ABADI PERSADA,1,AGREGAT / BAHAN URUG,EXISTING,PO+ITEM_U,ACTUAL_WORK_CIRCLE_MISSING,False,False,1,1,2,Pasir Urug,Pasir Urug | Koral Beton,,"Material Supply | Aggregates, Sand & Fill Materials
Masonry & Walling Materials | Batu pecah,
pasir,
block,"
5,2020000002,ABADI PERSADA,2,BAHAN BANGUNAN,EXISTING,ITEM_U,ACTUAL_WORK_CIRCLE_MISSING,False,False,0,0,1,,Batako,,"Material Supply | Aggregates, Sand & Fill Materials
Masonry & Walling Materials | Batu pecah,
pasir,
block,"
5,2020000002,ABADI PERSADA,3,STRUKTUR BETON / CONCRETE,EXISTING,ITEM_U,ACTUAL_WORK_CIRCLE_MISSING,False,False,0,0,1,,Koral Beton,,"Material Supply | Aggregates, Sand & Fill Materials
Masonry & Walling Materials | Batu pecah,
pasir,
block,"
6,2020004027,ABB SAKTI INDUSTRI,1,ELEKTRIKAL,EXISTING,ITEM_U,CONFIRMED_TAXONOMY,False,True,0,0,2,,Electrical Ancillaries | Electrical Panel and Cable,,Material Supply | Electrical & Instrumentation Materials | panel
7,2020015046,"ABBEY INDRAJAYA SETIAWAN, S.E.",1,FURNITURE PERMANEN ADM BLDG,EXISTING,ITEM_U,ACTUAL_WORK_CIRCLE_MISSING,False,False,0,0,1,,Pek. Furniture Permanen Building (JK),,"Construction Services
Corporate Support Services | Building & Architectural Works
Office Supplies, Furniture & Equipment | Pekerjaan arsitektural gedung (all),
ATK, furniture, office appliance, pantry supplies, dan general office equipment."
8,2020015057,ABD.JALIL HI. MUMANG,1,SAFETY / K3,EXISTING,PO+ITEM_U,ACTUAL_WORK_CIRCLE_MISSING,False,False,1,20,6,Bendera K3 | Helm pelindung (Safety Helmet) | Sarung tangan kerja (Safety Gloves) | Sepatu keselamatan (rubber safety shoes) | Rompi keselamatan (Safety Vest),Bendera K3 | Helm pelindung (Safety Helmet) | Sarung tangan kerja (Safety Gloves) | Sepatu keselamatan (rubber safety shoes) | Rompi keselamatan (Safety Vest),,"Material Supply
Corporate Support Services | Safety, Site & General Consumables
Medical & Occupational Health Services | APD,
rambu,
kebutuhan umum proyek.
Klinik, medical check-up, occupational health, ambulance, dan tenaga medis."
8,2020015057,ABD.JALIL HI. MUMANG,2,MEDICAL / OCCUPATIONAL HEALTH,NEW,PO+ITEM_U,CONFIRMED_TAXONOMY,False,True,1,8,2,Ruang P3K/Klinik | Ambulans (sewa),Ruang P3K/Klinik | Ambulans (sewa),,"Material Supply
Corporate Support Services | Safety, Site & General Consumables
Medical & Occupational Health Services | APD,
rambu,
kebutuhan umum proyek.
Klinik, medical check-up, occupational health, ambulance, dan tenaga medis."
8,2020015057,ABD.JALIL HI. MUMANG,3,FIRE PROTECTION / FIRE ALARM,NEW,PO+ITEM_U,ACTUAL_WORK_CIRCLE_MISSING,False,False,1,4,1,Alat Pemadam Api Ringan (APAR) (untuk ke,Alat Pemadam Api Ringan (APAR) (untuk ke,,"Material Supply
Corporate Support Services | Safety, Site & General Consumables
Medical & Occupational Health Services | APD,
rambu,
kebutuhan umum proyek.
Klinik, medical check-up, occupational health, ambulance, dan tenaga medis."
8,2020015057,ABD.JALIL HI. MUMANG,4,MARKETING / BRANDING / COMMUNICATION,NEW,PO+ITEM_U,ACTUAL_WORK_CIRCLE_MISSING,False,False,1,4,1,Spanduk (Banner),Spanduk (Banner),,"Material Supply
Corporate Support Services | Safety, Site & General Consumables
Medical & Occupational Health Services | APD,
rambu,
kebutuhan umum proyek.
Klinik, medical check-up, occupational health, ambulance, dan tenaga medis."
9,2020012932,ABDILLAH S.H.,1,LEGAL / CORPORATE,EXISTING,ITEM_U,CONFIRMED_TAXONOMY,False,True,0,0,1,,Abdillah TH2 Jasa Hukum Jaya Nur Sukses,,"Corporate Support Services | Legal, Notarial & Corporate Secretarial Services | Jasa hukum korporat,"
11,2020014003,ABDUL KARIM,1,EQUIPMENT / RENTAL,EXISTING,ITEM_U,CONFIRMED_TAXONOMY,False,True,0,0,1,,Sewa Excavator,,"Construction Services
Equipment & Plant | Landscaping & External Works
Equipment Rental & Fleet Services | pagar,
Sewa alat dengan/tanpa operator,"
12,2020004037,"ABDUL LATIF,MANDOR",1,STRUKTUR BETON / CONCRETE,EXISTING,PO+ITEM_U,CONFIRMED_TAXONOMY,False,True,5,25,10,Upah Pembesian | Upah Penurunan Pembesian | Upah lantai kerja dg readymix tebal 50mm | Upah cor readymix dg concrete pump | Upah pembesian,Upah Pembesian | Upah Penurunan Pembesian | Upah lantai kerja dg readymix tebal 50mm | Upah Cor Readymix dg Concrete Pump | Sewa Concrete Pump,,"Construction Services
Material Supply
Equipment & Plant
Logistic and SC Services | Site Preparation & Demolition
Earthworks & Ground Improvement
Foundation & Piling Works
Concrete & Structural Works
Building & Architectural Works
Façade & Roofing
Mechanical, Electrical & Plumbing Works
Aggregates, Sand & Fill Materials
Architectural & Finishing Materials
Waterproofing, Sealant & Construction Chemicals
Mechanical Materials & Components
Equipment Rental & Fleet Services
Material Handling & Stevedoring | Pembersihan lahan
pembongkaran,
pekerjaan persiapan lokasi.
Galian, timbunan, pemadatan (pek. Tanah)
pemancangan
pembesian, pengecoran,
pasangan dinding,
plafon dan partisi
penyelesaian arsitektural.
skylight, sealant
Mekanikal
material timbunan.
Keramik,
Membrane,
coating,
HVAC component,
Sewa alat dengan/tanpa operator,
Loading-unloading,"
12,2020004037,"ABDUL LATIF,MANDOR",2,PEKERJAAN TANAH / EARTHWORKS,EXISTING,ITEM_U,ACTUAL_WORK_CIRCLE_MISSING,False,False,0,0,3,,Galian Tanah (Open Cut) | Urugan Tanah Kembali + Pemadatan | Pemadatan tanah dengan CBR Test,,"Construction Services
Material Supply
Equipment & Plant
Logistic and SC Services | Site Preparation & Demolition
Earthworks & Ground Improvement
Foundation & Piling Works
Concrete & Structural Works
Building & Architectural Works
Façade & Roofing
Mechanical, Electrical & Plumbing Works
Aggregates, Sand & Fill Materials
Architectural & Finishing Materials
Waterproofing, Sealant & Construction Chemicals
Mechanical Materials & Components
Equipment Rental & Fleet Services
Material Handling & Stevedoring | Pembersihan lahan
pembongkaran,
pekerjaan persiapan lokasi.
Galian, timbunan, pemadatan (pek. Tanah)
pemancangan
pembesian, pengecoran,
pasangan dinding,
plafon dan partisi
penyelesaian arsitektural.
skylight, sealant
Mekanikal
material timbunan.
Keramik,
Membrane,
coating,
HVAC component,
Sewa alat dengan/tanpa operator,
Loading-unloading,"
12,2020004037,"ABDUL LATIF,MANDOR",3,PLUMBING / PIPA,EXISTING,ITEM_U,ACTUAL_WORK_CIRCLE_MISSING,False,False,0,0,3,,Upah pas Kloset duduk | Upah pas Floor drain | Upah pas Wastafel +kran,,"Construction Services
Material Supply
Equipment & Plant
Logistic and SC Services | Site Preparation & Demolition
Earthworks & Ground Improvement
Foundation & Piling Works
Concrete & Structural Works
Building & Architectural Works
Façade & Roofing
Mechanical, Electrical & Plumbing Works
Aggregates, Sand & Fill Materials
Architectural & Finishing Materials
Waterproofing, Sealant & Construction Chemicals
Mechanical Materials & Components
Equipment Rental & Fleet Services
Material Handling & Stevedoring | Pembersihan lahan
pembongkaran,
pekerjaan persiapan lokasi.
Galian, timbunan, pemadatan (pek. Tanah)
pemancangan
pembesian, pengecoran,
pasangan dinding,
plafon dan partisi
penyelesaian arsitektural.
skylight, sealant
Mekanikal
material timbunan.
Keramik,
Membrane,
coating,
HVAC component,
Sewa alat dengan/tanpa operator,
Loading-unloading,"
12,2020004037,"ABDUL LATIF,MANDOR",4,WATERPROOFING,NEW,ITEM_U,CONFIRMED_TAXONOMY,False,True,0,0,3,,Waterproofing membrane | Waterproofing Coating | WaterStop,,"Construction Services
Material Supply
Equipment & Plant
Logistic and SC Services | Site Preparation & Demolition
Earthworks & Ground Improvement
Foundation & Piling Works
Concrete & Structural Works
Building & Architectural Works
Façade & Roofing
Mechanical, Electrical & Plumbing Works
Aggregates, Sand & Fill Materials
Architectural & Finishing Materials
Waterproofing, Sealant & Construction Chemicals
Mechanical Materials & Components
Equipment Rental & Fleet Services
Material Handling & Stevedoring | Pembersihan lahan
pembongkaran,
pekerjaan persiapan lokasi.
Galian, timbunan, pemadatan (pek. Tanah)
pemancangan
pembesian, pengecoran,
pasangan dinding,
plafon dan partisi
penyelesaian arsitektural.
skylight, sealant
Mekanikal
material timbunan.
Keramik,
Membrane,
coating,
HVAC component,
Sewa alat dengan/tanpa operator,
Loading-unloading,"
12,2020004037,"ABDUL LATIF,MANDOR",5,BAHAN BANGUNAN,EXISTING,ITEM_U,ACTUAL_WORK_CIRCLE_MISSING,False,False,0,0,2,,Upah Pasang Batako | Upah Pasang dinding luar bata ringan,,"Construction Services
Material Supply
Equipment & Plant
Logistic and SC Services | Site Preparation & Demolition
Earthworks & Ground Improvement
Foundation & Piling Works
Concrete & Structural Works
Building & Architectural Works
Façade & Roofing
Mechanical, Electrical & Plumbing Works
Aggregates, Sand & Fill Materials
Architectural & Finishing Materials
Waterproofing, Sealant & Construction Chemicals
Mechanical Materials & Components
Equipment Rental & Fleet Services
Material Handling & Stevedoring | Pembersihan lahan
pembongkaran,
pekerjaan persiapan lokasi.
Galian, timbunan, pemadatan (pek. Tanah)
pemancangan
pembesian, pengecoran,
pasangan dinding,
plafon dan partisi
penyelesaian arsitektural.
skylight, sealant
Mekanikal
material timbunan.
Keramik,
Membrane,
coating,
HVAC component,
Sewa alat dengan/tanpa operator,
Loading-unloading,"
12,2020004037,"ABDUL LATIF,MANDOR",6,FAÇADE / ARSITEKTUR,EXISTING,ITEM_U,CONFIRMED_TAXONOMY,False,True,0,0,2,,Ceiling drop HPL L=60cm+signage | Accoustic Tile,,"Construction Services
Material Supply
Equipment & Plant
Logistic and SC Services | Site Preparation & Demolition
Earthworks & Ground Improvement
Foundation & Piling Works
Concrete & Structural Works
Building & Architectural Works
Façade & Roofing
Mechanical, Electrical & Plumbing Works
Aggregates, Sand & Fill Materials
Architectural & Finishing Materials
Waterproofing, Sealant & Construction Chemicals
Mechanical Materials & Components
Equipment Rental & Fleet Services
Material Handling & Stevedoring | Pembersihan lahan
pembongkaran,
pekerjaan persiapan lokasi.
Galian, timbunan, pemadatan (pek. Tanah)
pemancangan
pembesian, pengecoran,
pasangan dinding,
plafon dan partisi
penyelesaian arsitektural.
skylight, sealant
Mekanikal
material timbunan.
Keramik,
Membrane,
coating,
HVAC component,
Sewa alat dengan/tanpa operator,
Loading-unloading,"
12,2020004037,"ABDUL LATIF,MANDOR",7,LOGISTICS / TRANSPORT,EXISTING,ITEM_U,ACTUAL_WORK_CIRCLE_MISSING,False,False,0,0,2,,Upah Urug pasir + langsir | Upah urug pasir + langsir,,"Construction Services
Material Supply
Equipment & Plant
Logistic and SC Services | Site Preparation & Demolition
Earthworks & Ground Improvement
Foundation & Piling Works
Concrete & Structural Works
Building & Architectural Works
Façade & Roofing
Mechanical, Electrical & Plumbing Works
Aggregates, Sand & Fill Materials
Architectural & Finishing Materials
Waterproofing, Sealant & Construction Chemicals
Mechanical Materials & Components
Equipment Rental & Fleet Services
Material Handling & Stevedoring | Pembersihan lahan
pembongkaran,
pekerjaan persiapan lokasi.
Galian, timbunan, pemadatan (pek. Tanah)
pemancangan
pembesian, pengecoran,
pasangan dinding,
plafon dan partisi
penyelesaian arsitektural.
skylight, sealant
Mekanikal
material timbunan.
Keramik,
Membrane,
coating,
HVAC component,
Sewa alat dengan/tanpa operator,
Loading-unloading,"
12,2020004037,"ABDUL LATIF,MANDOR",8,STEEL / FABRIKASI,EXISTING,ITEM_U,ACTUAL_WORK_CIRCLE_MISSING,False,False,0,0,2,,Upah pas handrail / grab bar | Gapura Struktur Baja/Protect Akses Jalan,,"Construction Services
Material Supply
Equipment & Plant
Logistic and SC Services | Site Preparation & Demolition
Earthworks & Ground Improvement
Foundation & Piling Works
Concrete & Structural Works
Building & Architectural Works
Façade & Roofing
Mechanical, Electrical & Plumbing Works
Aggregates, Sand & Fill Materials
Architectural & Finishing Materials
Waterproofing, Sealant & Construction Chemicals
Mechanical Materials & Components
Equipment Rental & Fleet Services
Material Handling & Stevedoring | Pembersihan lahan
pembongkaran,
pekerjaan persiapan lokasi.
Galian, timbunan, pemadatan (pek. Tanah)
pemancangan
pembesian, pengecoran,
pasangan dinding,
plafon dan partisi
penyelesaian arsitektural.
skylight, sealant
Mekanikal
material timbunan.
Keramik,
Membrane,
coating,
HVAC component,
Sewa alat dengan/tanpa operator,
Loading-unloading,"
