classification,vendor_count,evidence_rows,distinct_po_total,column_u_item_total
OFFICE SUPPLY / EQUIPMENT,43,43,43,229
FUEL / LUBRICANT,39,39,22,45
TRAINING / PROFESSIONAL DEVELOPMENT,36,36,10,35
WATERPROOFING,35,35,17,80
GEOTECHNICAL / SOIL INVESTIGATION,27,27,12,26
CLEANING / HYGIENE,26,26,16,23
MARINE / COASTAL,26,26,7,32
MARKETING / BRANDING / COMMUNICATION,23,23,10,30
SCAFFOLDING / PERANCAH,23,23,4,37
FINANCE / TAX / ACCOUNTING,18,18,3,4
TRAVEL / EVENT,17,17,1,13
FIRE PROTECTION / FIRE ALARM,15,15,4,15
HR / RECRUITMENT,13,13,16,60
ENVIRONMENT / SUSTAINABILITY,11,11,1,2
HVAC / AIR CONDITIONING,11,11,4,19
PRINTING / DOCUMENT SERVICES,11,11,6,29
ELEVATOR / ESCALATOR / LIFT,7,7,1,8
SURVEY / GEOSPATIAL,7,7,3,7
MEDICAL / OCCUPATIONAL HEALTH,5,5,8,24
CATERING,4,4,1,4
INSTRUMENTATION & CONTROL,3,3,0,3
INSURANCE / RISK,3,3,0,3
DREDGING / RECLAMATION,1,1,0,3
